id,name,secondLetterVowel,label
104,"Ron Kohavi",1,winner
105,"Michael de la Maza",1,winner
106,"Robert Sloan",1,winner
107,"Daniel Kortenkamp",1,winner
108,"Ricard Gavalda",1,winner
109,"Joe Suzuki",1,winner
110,"James S. Royer",1,winner
111,"Tapio Elomaa",1,winner
112,"Michael Redmond",1,winner
113,"Rich Maclin",1,winner
114,"Jiarong Hong",1,winner
115,"Janusz Wnek",1,winner
116,"David B. Skalak",1,winner
117,"Daniel Hennessy",1,winner
118,"David Cohn",1,winner
119,"Merrick L. Furst",1,winner
120,"Lindley Darden",1,winner
121,"Wai Lam",1,winner
122,"Paul W. Goldberg",1,winner
123,"Jason Catlett",1,winner
124,"Justinian Rosca",1,winner
125,"Richard S. Sutton",1,winner
126,"Michael W. Barley",1,winner
127,"Leslie Grate",1,winner
128,"Nathalie Japkowicz",1,winner
129,"Randolph Jones",1,winner
130,"John Rachlin",1,winner
131,"Moshe Leshno",1,winner
132,"Darko Zupanic",1,winner
133,"Michael Kearns",1,winner
134,"Holly Yanco",1,winner
135,"Tom Bylander",1,winner
136,"Johannes Furnkranz",1,winner
137,"Pat Langley",1,winner
138,"Javed Aslam",1,winner
139,"Jean Gabriel Ganascia",1,winner
140,"Sean Slattery",1,winner
141,"Michael A. meystel",1,winner
142,"David Gillman",1,winner
143,"Matevz Kovacic",1,winner
144,"Bala Kalyanasundaram",1,winner
145,"Martin Kummer",1,winner
146,"Manfred Warmuth",1,winner
147,"David Mathias",1,winner
148,"Nicolas Fiechter",1,winner
149,"Aurora Perez",1,winner
150,"Naoki Abe",1,winner
151,"Kimmen Sjolander",1,winner
152,"Jeffery Clouse",1,winner
153,"Robert P. Daley",1,winner
154,"William Gasarch",1,winner
155,"Reinhard Blasig",1,winner
156,"Malini Bhandaru",1,winner
157,"Robert Schapire",1,winner
158,"Gary M. Selzer",1,winner
159,"Martinch Krikis",1,winner
160,"John Case",1,winner
161,"Lance Fortnow",1,winner
162,"Lorien Y. Pratt",1,winner
163,"Haralabos Athanassiou",1,winner
164,"Paul Fischer",1,winner
165,"Hal Duncan",1,winner
166,"Von-Wun Soo",1,winner
167,"Bill Byrne",1,winner
168,"Creed Bratton",0,winner
169,"Minoru Asada",1,winner
170,"Tom M. Mitchell",1,winner
171,"Jean-Daniel Zucker",1,winner
172,"Sonya Snedecor",1,winner
173,"Dana Angluin",1,winner
174,"Wolfgang Maass",1,winner
175,"Marko Grobelnik",1,winner
176,"Mary Soon Lee",1,winner
177,"Mona Singh",1,winner
178,"Justin Boyan",1,winner
179,"Daniel L. Silver",1,winner
180,"David W. Aha",1,winner
181,"Robert S. Roos",1,winner
182,"David Loewenstern",1,winner
183,"John M. Zelle",1,winner
184,"Ronitt Rubinfeld",1,winner
185,"Aaron Feigelson",1,winner
186,"Harris Drucker",1,winner
187,"Carla E. Brodley",1,winner
188,"Maja Mataric",1,winner
189,"Leonard Pitt",1,winner
190,"Long-Ji Lin",1,winner
191,"Welton Becket",1,winner
192,"Haym Hirsh",1,winner
193,"Hiroshi Motoda",1,winner
194,"John Fischer",1,winner
195,"George A. Drastal",1,winner
196,"William Cohen",1,winner
197,"Jing Peng",1,winner
198,"David Haussler",1,winner
199,"Joel Ratsaby",1,winner
200,"Kan Deng",1,winner
201,"Russell Greiner",1,winner
202,"Dunja Mladenic",1,winner
203,"Jong-Hoon Oh",1,winner
204,"Ken Lang",1,winner
205,"Bernhard Pfahringer",1,winner
206,"Ronald L. Rivest",1,winner
207,"Robert Williamson",1,winner
208,"David Finton",1,winner
209,"Mark Staley",1,winner
210,"Filippo Neri",1,winner
211,"Jonathan Hodgson",1,winner
212,"Dennis F. Kibler",1,winner
213,"Michael J. Donahue",1,winner
214,"Ed Pednault",0,loser
215,"Arlindo Oliveira",0,loser
216,"Irina Tchoumatchenko",0,loser
217,"Thomas E. Kammeyer",0,loser
218,"R. Andrew McCallum",0,loser
219,"Bhaskar Dasgupta",0,loser
220,"Wray Buntine",0,loser
221,"Chris Drummond",0,loser
222,"Claude Sammut",0,loser
223,"Charles X. Ling",0,loser
224,"Stefan Kramer",0,loser
225,"Cristina Baroglio",0,loser
226,"Philip Chan",0,loser
227,"Attilio Giordana",0,loser
228,"Thomas Zeugmann",0,loser
229,"Shaul Markovitch",0,loser
230,"Eric Allender",0,loser
231,"Bruce A. MacDonald",0,loser
232,"Craig Knoblock",0,loser
233,"Prasad Tadepalli",0,loser
234,"Stan Matwin",0,loser
235,"Stephen Kwek",0,loser
236,"J. R. Quinlan",0,loser
237,"Priscilla Rasmussen",0,loser
238,"Steven Minton",0,loser
239,"Claudio Facchinetti",0,loser
240,"Shai Ben-David",0,loser
241,"Anselm Blumer",0,loser
242,"Steven W. Norton",0,loser
243,"R. Bharat Rao",0,loser
244,"J. Jeffrey Mahoney",0,loser
245,"Thomas G. Dietterich",0,loser
246,"Phil Long",0,loser
247,"Krishnan Pillaipakkamnatt",0,loser
248,"Usama Fayyad",0,loser
249,"Grigoris Karakoulas",0,loser
250,"Drago Indjic",0,loser
251,"Frank Stephan",0,loser
252,"Claire Cardie",0,loser
253,"Andrey Burago",0,loser
254,"Eddy Mayoraz",0,loser
255,"Lyle H. Ungar",0,loser
256,"Thomas Wengerek",0,loser
257,"Steven Salzberg",0,loser
258,"Chris Darken",0,loser
259,"Oded Maron",0,loser
260,"Chun-Nan Hsu",0,loser
261,"Jyrki Kivinen",0,loser
262,"Steve A. Chien",0,loser
263,"Stephen Muggleton",0,loser
264,"Sreerama K. Murthy",0,loser
265,"Emanuel Knill",0,loser
266,"Sholom Weiss",0,loser
267,"Thomas G. Spalthoff",0,loser
268,"Olivier De Vel",0,loser
269,"Brian D. Davidson",0,loser
270,"Brian Tester",0,loser
271,"Michael Scott",1,loser
272,"Clare Bates Congdon",0,loser
273,"Klaus P. Jantke",0,loser
274,"Bradley L. Whitehall",0,loser
275,"Sridhar Mahadevan",0,loser
276,"Craig Nevill-Manning",0,loser
277,"Myriam Abramson",0,loser
278,"Glenn Silverstein",0,loser
279,"Avrim Blum",0,loser
280,"Scott E. Decatur",0,loser
281,"Chidanand Apte",0,loser
282,"Zhixiang Chen",0,loser
283,"Eric Baum",0,loser
284,"Arun Sharma",0,loser
285,"Thomas Ellman",0,loser
286,"Alexander M. Meystel",0,loser
287,"Eyal Kushilevitz",0,loser
288,"Ameur Foued",0,loser
289,"Antoine Cornuejols",0,loser
290,"Alma Whitten",0,loser
291,"L. Thorne McCarty",0,loser
292,"Chen K. Tham",0,loser
293,"Steffen Lange",0,loser
294,"Andrew W. Moore",0,loser
295,"Armand Prieditis",0,loser
296,"Stuart Russell",0,loser
297,"Andrew Y. Ng",0,loser
298,"Efim Kinber",0,loser
